@RELATION pacman-data-training

	 @ATTRIBUTE pacman-x NUMERIC
	 @ATTRIBUTE pacman-y NUMERIC
	 @ATTRIBUTE ghost-x NUMERIC
	 @ATTRIBUTE ghost-y NUMERIC
	 @ATTRIBUTE ghost-distance NUMERIC
	 @ATTRIBUTE north-legal {True,False}
	 @ATTRIBUTE south-legal {True,False}
	 @ATTRIBUTE east-legal {True,False}
	 @ATTRIBUTE west-legal {True,False}
	 @ATTRIBUTE ghost-move {North,South,East,West,Stop,None}
	 @ATTRIBUTE score NUMERIC
	 @ATTRIBUTE final-move {North,South,East,West,Stop}
	 @ATTRIBUTE next_score NUMERIC

	 @data
12,10,13,12,3,False,False,True,True,Stop,-46,Stop,-47
12,10,13,12,3,False,False,True,True,Stop,-47,Stop,-48
12,10,13,12,3,False,False,True,True,Stop,-48,Stop,-49
12,10,13,12,3,False,False,True,True,Stop,-49,Stop,-50
12,10,13,12,3,False,False,True,True,Stop,-50,Stop,-51
12,10,13,12,3,False,False,True,True,Stop,-51,Stop,-52
12,10,13,12,3,False,False,True,True,Stop,-52,Stop,-53
12,10,13,12,3,False,False,True,True,Stop,-53,Stop,-54
12,10,13,12,3,False,False,True,True,Stop,-54,Stop,-55
12,10,13,12,3,False,False,True,True,Stop,-55,Stop,-56
12,10,13,12,3,False,False,True,True,Stop,-56,Stop,-57
12,10,13,12,3,False,False,True,True,Stop,-57,Stop,-58
12,10,13,12,3,False,False,True,True,Stop,-58,Stop,-59
12,10,13,12,3,False,False,True,True,Stop,-59,Stop,-60
12,10,13,12,3,False,False,True,True,Stop,-60,Stop,-61
12,10,13,12,3,False,False,True,True,Stop,-61,Stop,-62
12,10,13,12,3,False,False,True,True,Stop,-62,Stop,-63
12,10,13,12,3,False,False,True,True,Stop,-63,Stop,-64
12,10,13,12,3,False,False,True,True,Stop,-64,Stop,-65
12,10,13,12,3,False,False,True,True,Stop,-65,Stop,-66
12,10,13,12,3,False,False,True,True,Stop,-66,Stop,-67
12,10,13,12,3,False,False,True,True,Stop,-67,Stop,-68
12,10,13,12,3,False,False,True,True,Stop,-68,Stop,-69
12,10,13,12,3,False,False,True,True,Stop,-69,Stop,-70
12,10,13,12,3,False,False,True,True,Stop,-70,Stop,-71
12,10,13,12,3,False,False,True,True,Stop,-71,Stop,-72
12,10,13,12,3,False,False,True,True,Stop,-72,Stop,-73
12,10,13,12,3,False,False,True,True,Stop,-73,Stop,-74
12,10,13,12,3,False,False,True,True,Stop,-74,Stop,-75
12,10,13,12,3,False,False,True,True,Stop,-75,Stop,-76
12,10,13,12,3,False,False,True,True,Stop,-76,Stop,-77
12,10,13,12,3,False,False,True,True,Stop,-77,Stop,-78
12,10,13,12,3,False,False,True,True,Stop,-78,Stop,-79
